question,answer,text
What was Uric the Oddball best known for wearing on his head?,A jellyfish,<s>[INST] What was Uric the Oddball best known for wearing on his head? [/INST] A jellyfish </s>
Catching what object ends a Quidditch match?,Golden Snitch,<s>[INST] Catching what object ends a Quidditch match? [/INST] Golden Snitch </s>
What spell provides protection against Dementors?,Expecto Patronum,<s>[INST] What spell provides protection against Dementors? [/INST] Expecto Patronum </s>
"Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail?",Wormtail,"<s>[INST] Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail? [/INST] Wormtail </s>"
Which incantation conjures flowers?,Orchideous,<s>[INST] Which incantation conjures flowers? [/INST] Orchideous </s>
Where did Harry begin hearing the voice that no one else could hear?,In Professor Lockhart’s office,<s>[INST] Where did Harry begin hearing the voice that no one else could hear? [/INST] In Professor Lockhart’s office </s>
What is Tulip’s prank of choice?,Dungbomb,<s>[INST] What is Tulip’s prank of choice? [/INST] Dungbomb </s>
Who was Ron's first girlfriend?,Lavender Brown,<s>[INST] Who was Ron's first girlfriend? [/INST] Lavender Brown </s>
The Blast-Ended Skrewt is a hybrid of a Fire Crab and what?,Manticore,<s>[INST] The Blast-Ended Skrewt is a hybrid of a Fire Crab and what? [/INST] Manticore </s>
What was the Seeker originally called?,The Hunter,<s>[INST] What was the Seeker originally called? [/INST] The Hunter </s>
"What does Hogwarts say you should never do, but I'd love to do?",Tickle a Sleeping Dragon,"<s>[INST] What does Hogwarts say you should never do, but I'd love to do? [/INST] Tickle a Sleeping Dragon </s>"
What is the wand motion for Wingardium Leviosa?,Swish and Flick,<s>[INST] What is the wand motion for Wingardium Leviosa? [/INST] Swish and Flick </s>
How is Quodpot different from Quiddtich?,The ball explodes.,<s>[INST] How is Quodpot different from Quiddtich? [/INST] The ball explodes. </s>
Which team is in last place?,Chudley Cannons,<s>[INST] Which team is in last place? [/INST] Chudley Cannons </s>
"In Book 4, who does Hermione Granger go with to the Yule Ball?",Viktor Krum.,"<s>[INST] In Book 4, who does Hermione Granger go with to the Yule Ball? [/INST] Viktor Krum. </s>"
What's Tonks dad's name?,Ted,<s>[INST] What's Tonks dad's name? [/INST] Ted </s>
Which Alchemist was active during the Medieval age?,Nicholas Flamel,<s>[INST] Which Alchemist was active during the Medieval age? [/INST] Nicholas Flamel </s>
"In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks?",He jumps on Ron's head at the Magical Menagerie.,"<s>[INST] In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks? [/INST] He jumps on Ron's head at the Magical Menagerie. </s>"
How old was Harry when he got his first letter from Hogwarts?,Eleven,<s>[INST] How old was Harry when he got his first letter from Hogwarts? [/INST] Eleven </s>
Who was headmaster or headmistress at Hogwarts when Tom Riddle was a student?,Armando Dippet,<s>[INST] Who was headmaster or headmistress at Hogwarts when Tom Riddle was a student? [/INST] Armando Dippet </s>
"What is Lord Voldemort's full, real name?",Tom Marvolo Riddle.,"<s>[INST] What is Lord Voldemort's full, real name? [/INST] Tom Marvolo Riddle. </s>"
Name an object we’ve Transfigured a porcupine into.,Pincushion,<s>[INST] Name an object we’ve Transfigured a porcupine into. [/INST] Pincushion </s>
Which two students came up with the name “Dumbledore’s Army?,Cho Chang and Ginny Weasley,<s>[INST] Which two students came up with the name “Dumbledore’s Army? [/INST] Cho Chang and Ginny Weasley </s>
Who is the headmaster of Hogwarts during Harry's years at school?,Albus Dumbledore,<s>[INST] Who is the headmaster of Hogwarts during Harry's years at school? [/INST] Albus Dumbledore </s>
Who does Hermione impersonate using the Polyjuice Potion in the second book of the Harry Potter series?,Millicent Bulstrode,<s>[INST] Who does Hermione impersonate using the Polyjuice Potion in the second book of the Harry Potter series? [/INST] Millicent Bulstrode </s>
Which of these is needed for successful broom casting?,Balance,<s>[INST] Which of these is needed for successful broom casting? [/INST] Balance </s>
What is the address of the Headquarters of the Order of the Phoenix?,"12 Grimmauld Place, London","<s>[INST] What is the address of the Headquarters of the Order of the Phoenix? [/INST] 12 Grimmauld Place, London </s>"
What would Peevsey do at a trial?,Cause a mistrial,<s>[INST] What would Peevsey do at a trial? [/INST] Cause a mistrial </s>
What is the name of Hagrid's boarhound dog?,Fang,<s>[INST] What is the name of Hagrid's boarhound dog? [/INST] Fang </s>
Which spell is used in Harry Potter that levitates objects?,Wingardium Leviosa,<s>[INST] Which spell is used in Harry Potter that levitates objects? [/INST] Wingardium Leviosa </s>
Who previously held Snape's post as Potions Master?,Horace Slughorn,<s>[INST] Who previously held Snape's post as Potions Master? [/INST] Horace Slughorn </s>
What was Elfric the Eager's uprising?,A revolt.,<s>[INST] What was Elfric the Eager's uprising? [/INST] A revolt. </s>
When was Azkaban Prison established?,1718,<s>[INST] When was Azkaban Prison established? [/INST] 1718 </s>
What do all the hands on the Weasleys’s magical clock point to when Harry gets to the Burrow?,“Mortal peril”,<s>[INST] What do all the hands on the Weasleys’s magical clock point to when Harry gets to the Burrow? [/INST] “Mortal peril” </s>
What curse is Harry Potter the only known survivor of?,Avada Kedavra,<s>[INST] What curse is Harry Potter the only known survivor of? [/INST] Avada Kedavra </s>
Name one of the potion's ingredients...,Dragon Liver,<s>[INST] Name one of the potion's ingredients... [/INST] Dragon Liver </s>
How many players are on a quidditch team?,7,<s>[INST] How many players are on a quidditch team? [/INST] 7 </s>
Where was Beedle the Bard born?,"Yorkshire, England.","<s>[INST] Where was Beedle the Bard born? [/INST] Yorkshire, England. </s>"
What was the name of Neville Longbottom's pet toad?,Trevor,<s>[INST] What was the name of Neville Longbottom's pet toad? [/INST] Trevor </s>
A: Which ghost is the most terrifying?,Bloody Baron,<s>[INST] A: Which ghost is the most terrifying? [/INST] Bloody Baron </s>
Which is NOT a side effect of a miscast Silencing Charm?,Insatiable Hunger,<s>[INST] Which is NOT a side effect of a miscast Silencing Charm? [/INST] Insatiable Hunger </s>
Which of these is not a type of broom?,Occamy,<s>[INST] Which of these is not a type of broom? [/INST] Occamy </s>
Which of the following could very well be a Chameleon Ghoul?,Coat Rack,<s>[INST] Which of the following could very well be a Chameleon Ghoul? [/INST] Coat Rack </s>
Which of the following is NOT a type of Transfiguration?,Summoning,<s>[INST] Which of the following is NOT a type of Transfiguration? [/INST] Summoning </s>
What are all Warlock conventions?,Confidential / Important.,<s>[INST] What are all Warlock conventions? [/INST] Confidential / Important. </s>
Which of these is an ancient predecessor to Quidditch?,Creaothceann.,<s>[INST] Which of these is an ancient predecessor to Quidditch? [/INST] Creaothceann. </s>
What is the name of the three-headed dog that guards the Sorcerer's Stone?,Fluffy,<s>[INST] What is the name of the three-headed dog that guards the Sorcerer's Stone? [/INST] Fluffy </s>
When did Gringotts Wizarding Bank open?,1474,<s>[INST] When did Gringotts Wizarding Bank open? [/INST] 1474 </s>
Where did you have to go to study Trelawney's prophecy?,The Centaur Camp,<s>[INST] Where did you have to go to study Trelawney's prophecy? [/INST] The Centaur Camp </s>
What's the name of the magical government in the Harry Potter series?,The Ministry of Magic,<s>[INST] What's the name of the magical government in the Harry Potter series? [/INST] The Ministry of Magic </s>
What type of Potion is Weedosoros?,Poison,<s>[INST] What type of Potion is Weedosoros? [/INST] Poison </s>
Which books details the history of Quidditch?,Quidditch Through the Ages,<s>[INST] Which books details the history of Quidditch? [/INST] Quidditch Through the Ages </s>
The three D's of Apparition do not include which of the below?,Dimension,<s>[INST] The three D's of Apparition do not include which of the below? [/INST] Dimension </s>
Who is the Astronomy professor?,Professor Sinistra,<s>[INST] Who is the Astronomy professor? [/INST] Professor Sinistra </s>
Which of the following is another dive commonly used by Seekers?,Spiral Dive,<s>[INST] Which of the following is another dive commonly used by Seekers? [/INST] Spiral Dive </s>
What does 'Serpensortia' conjure?,Snakes,<s>[INST] What does 'Serpensortia' conjure? [/INST] Snakes </s>
Who decided the Dementor infestation could be an asset?,Damocles Rowle,<s>[INST] Who decided the Dementor infestation could be an asset? [/INST] Damocles Rowle </s>
How many Philosopher's Stones have been known to exist?,One,<s>[INST] How many Philosopher's Stones have been known to exist? [/INST] One </s>
Who concocts a love potion meant for Harry that Ron ends up taking by mistake?,Romilda Vane,<s>[INST] Who concocts a love potion meant for Harry that Ron ends up taking by mistake? [/INST] Romilda Vane </s>
What did Hermione use to help heal Ron's arm when it got splinched?,Essence of Dittany,<s>[INST] What did Hermione use to help heal Ron's arm when it got splinched? [/INST] Essence of Dittany </s>
What is Wronski Feint?,Pretending to dive for the Snitch.,<s>[INST] What is Wronski Feint? [/INST] Pretending to dive for the Snitch. </s>
By which statue is there a hidden pathway to Honeydukes?,The one-eyed witch,<s>[INST] By which statue is there a hidden pathway to Honeydukes? [/INST] The one-eyed witch </s>
When was the Golden Snidget first introduced into the game of Quidditch?,1269,<s>[INST] When was the Golden Snidget first introduced into the game of Quidditch? [/INST] 1269 </s>
What is Professor McGonagall’s animagus?,Silver tabby cat,<s>[INST] What is Professor McGonagall’s animagus? [/INST] Silver tabby cat </s>
"What is the middle name of Harry's daughter, Lily?",Luna,"<s>[INST] What is the middle name of Harry's daughter, Lily? [/INST] Luna </s>"
"To be allowed to Apparate, you must do what two things?",Be at least 17 years old and get your license.,"<s>[INST] To be allowed to Apparate, you must do what two things? [/INST] Be at least 17 years old and get your license. </s>"
What was Elfric known as?,The Eager.,<s>[INST] What was Elfric known as? [/INST] The Eager. </s>
Peeves is a giant of what?,Pranks,<s>[INST] Peeves is a giant of what? [/INST] Pranks </s>
"In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry?",Piers,"<s>[INST] In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry? [/INST] Piers </s>"
What did Hagrid name his pet dragon?,Norbert,<s>[INST] What did Hagrid name his pet dragon? [/INST] Norbert </s>
"When practising Bibliomancy, what passage should one select?",A random passage,"<s>[INST] When practising Bibliomancy, what passage should one select? [/INST] A random passage </s>"
Which potion grants the drinker incredible luck?,Felix Felicis,<s>[INST] Which potion grants the drinker incredible luck? [/INST] Felix Felicis </s>
Which Weasley dies during the final battle of Hogwarts?,Fred Weasley,<s>[INST] Which Weasley dies during the final battle of Hogwarts? [/INST] Fred Weasley </s>
What is a toadstool?,A mushroom,<s>[INST] What is a toadstool? [/INST] A mushroom </s>
Which Quidditch ball is the biggest?,Quaffle,<s>[INST] Which Quidditch ball is the biggest? [/INST] Quaffle </s>
How many points is the Golden Snitch worth?,150,<s>[INST] How many points is the Golden Snitch worth? [/INST] 150 </s>
What Goblin led the 18th century Golbin Rebellions?,Urg the Unclean,<s>[INST] What Goblin led the 18th century Golbin Rebellions? [/INST] Urg the Unclean </s>
Who would make the most use of the charm Alohomora?,A Thief,<s>[INST] Who would make the most use of the charm Alohomora? [/INST] A Thief </s>
When was Wendelin the Weird alive?,The Middle Ages.,<s>[INST] When was Wendelin the Weird alive? [/INST] The Middle Ages. </s>
And what type of animal does Harry accidentally set free while they're at the zoo?,A boa constrictor,<s>[INST] And what type of animal does Harry accidentally set free while they're at the zoo? [/INST] A boa constrictor </s>
"In the Goblet of Fire, which two schools participate in the Triwizard Tournament alongside Hogwarts?",Durmstrang and Beauxbatons,"<s>[INST] In the Goblet of Fire, which two schools participate in the Triwizard Tournament alongside Hogwarts? [/INST] Durmstrang and Beauxbatons </s>"
What is notable about Everlasting Elixirs?,They never run out,<s>[INST] What is notable about Everlasting Elixirs? [/INST] They never run out </s>
Which character do we see ride a broom for the first time in this movie?,Hermione Granger,<s>[INST] Which character do we see ride a broom for the first time in this movie? [/INST] Hermione Granger </s>
I bet you don't know how many wizards serve on the Wizengamot!,50,<s>[INST] I bet you don't know how many wizards serve on the Wizengamot! [/INST] 50 </s>
What would Peevsey do at a trial?,Cause a mistrial.,<s>[INST] What would Peevsey do at a trial? [/INST] Cause a mistrial. </s>
What did Harry Potter's aunt and uncle say his parents passed from?,In a traffic accident,<s>[INST] What did Harry Potter's aunt and uncle say his parents passed from? [/INST] In a traffic accident </s>
Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold.,<s>[INST] Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it? [/INST] Arnold. </s>
How old was the Sorcerer's Stone co-creator Nicolas Flamel when he decided to destroy it?,665,<s>[INST] How old was the Sorcerer's Stone co-creator Nicolas Flamel when he decided to destroy it? [/INST] 665 </s>
Where is the entrance to the Chamber of Secrets?,Moaning Myrtle's bathroom,<s>[INST] Where is the entrance to the Chamber of Secrets? [/INST] Moaning Myrtle's bathroom </s>
Where can Shrivelfigs be found?,Abyssinia,<s>[INST] Where can Shrivelfigs be found? [/INST] Abyssinia </s>
I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,<s>[INST] I'd be surprised if you knew this. what's the first step of flying on your broom? [/INST] Kicking off </s>
"Moony, Wormtail, Padfoot, and Prongs are code names for which four characters?","Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter.","<s>[INST] Moony, Wormtail, Padfoot, and Prongs are code names for which four characters? [/INST] Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter. </s>"
What is the name of the powerful and dangerous artifact that Voldemort creates in the Harry Potter series by splitting his soul into seven pieces?,The Horcruxes,<s>[INST] What is the name of the powerful and dangerous artifact that Voldemort creates in the Harry Potter series by splitting his soul into seven pieces? [/INST] The Horcruxes </s>
How many times did Wendelin the Weird allow herself to be caught?,Forty-seven.,<s>[INST] How many times did Wendelin the Weird allow herself to be caught? [/INST] Forty-seven. </s>
What can cause a person's patronus to change?,Major Life Events,<s>[INST] What can cause a person's patronus to change? [/INST] Major Life Events </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
I bet you don't know how many wizards serve on the Wizengamot!,50,<s>[INST] I bet you don't know how many wizards serve on the Wizengamot! [/INST] 50 </s>
Which Quidditch players score goals?,The Chasers,<s>[INST] Which Quidditch players score goals? [/INST] The Chasers </s>
What magical plant allows humans to breathe underwater?,Gillyweed,<s>[INST] What magical plant allows humans to breathe underwater? [/INST] Gillyweed </s>
How do you tell if a door is Imperturbable?,Chuck stuff at it,<s>[INST] How do you tell if a door is Imperturbable? [/INST] Chuck stuff at it </s>
Who does Harry take to the Yule Ball?,Parvati Patil,<s>[INST] Who does Harry take to the Yule Ball? [/INST] Parvati Patil </s>
In which situation would the Blackboard Writing Spell be useful?,Summarising a lecture,<s>[INST] In which situation would the Blackboard Writing Spell be useful? [/INST] Summarising a lecture </s>
"In 1997, what was written on the statue at the Ministry of Magic under Voldemort's control?",Magic is Might,"<s>[INST] In 1997, what was written on the statue at the Ministry of Magic under Voldemort's control? [/INST] Magic is Might </s>"
When is Neville's birthday?,July 30,<s>[INST] When is Neville's birthday? [/INST] July 30 </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
Where could you buy broomsticks?,Quality Quidditch Supplies,<s>[INST] Where could you buy broomsticks? [/INST] Quality Quidditch Supplies </s>
What does the Sorcerer's Stone do?,"It produces the Elixir of Life, granting immortality, and can turn any metal into pure gold.","<s>[INST] What does the Sorcerer's Stone do? [/INST] It produces the Elixir of Life, granting immortality, and can turn any metal into pure gold. </s>"
Which creatures guard wand-making trees?,Bowtruckles,<s>[INST] Which creatures guard wand-making trees? [/INST] Bowtruckles </s>
Screechsnaps are capable of doing which of the following?,Move & Make Noise,<s>[INST] Screechsnaps are capable of doing which of the following? [/INST] Move & Make Noise </s>
"Monkshood and wolfsbane are the same plant, also known as what?",Aconite,"<s>[INST] Monkshood and wolfsbane are the same plant, also known as what? [/INST] Aconite </s>"
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,<s>[INST] You wouldn't know anything about this. Name a method to make your broom go faster. [/INST] Using polish </s>
What was the Seeker originally called?,The Hunter,<s>[INST] What was the Seeker originally called? [/INST] The Hunter </s>
Who is the Half-Blood Prince?,Severus Snape,<s>[INST] Who is the Half-Blood Prince? [/INST] Severus Snape </s>
How did Fred and George get the money to open their shop?,They won a bet on the Quidditch World Cup,<s>[INST] How did Fred and George get the money to open their shop? [/INST] They won a bet on the Quidditch World Cup </s>
What's the first step to performing a Bell Tailslide?,Flying straight up.,<s>[INST] What's the first step to performing a Bell Tailslide? [/INST] Flying straight up. </s>
Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents?,"Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta","<s>[INST] Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents? [/INST] Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta </s>"
How is Quodpot different from Quiddtich?,The ball explodes.,<s>[INST] How is Quodpot different from Quiddtich? [/INST] The ball explodes. </s>
Which of these titles or identities has not been held by Harry Potter?,SPEW Treasurer,<s>[INST] Which of these titles or identities has not been held by Harry Potter? [/INST] SPEW Treasurer </s>
How many Knuts equal one Sickle?,29,<s>[INST] How many Knuts equal one Sickle? [/INST] 29 </s>
Which of the following is another dive commonly used by Seekers?,Spiral Dive,<s>[INST] Which of the following is another dive commonly used by Seekers? [/INST] Spiral Dive </s>
What is the incantation for the snake-vanishing spell?,Vipera Evanesca.,<s>[INST] What is the incantation for the snake-vanishing spell? [/INST] Vipera Evanesca. </s>
How many points is a goal worth?,Ten,<s>[INST] How many points is a goal worth? [/INST] Ten </s>
"In the epilogue to the book, who says, “Don’t let it worry you. It’s me, I’m extremely famous.”",Ron Weasley,"<s>[INST] In the epilogue to the book, who says, “Don’t let it worry you. It’s me, I’m extremely famous.” [/INST] Ron Weasley </s>"
What does Harry steal from Dolores Umbridge’s office in the Ministry of Magic?,Mad-Eye Moody’s magical eyeball,<s>[INST] What does Harry steal from Dolores Umbridge’s office in the Ministry of Magic? [/INST] Mad-Eye Moody’s magical eyeball </s>
Who is the History of Magic Professor?,Professor Binns,<s>[INST] Who is the History of Magic Professor? [/INST] Professor Binns </s>
What is the name of Fleur Delacour and Bill Weasley’s house?,Shell Cottage,<s>[INST] What is the name of Fleur Delacour and Bill Weasley’s house? [/INST] Shell Cottage </s>
Who among the following served as a Hufflepuff Prefect?,Ernie Macmillan,<s>[INST] Who among the following served as a Hufflepuff Prefect? [/INST] Ernie Macmillan </s>
What does the Potion for Dreamless Sleep induce?,Drowsiness.,<s>[INST] What does the Potion for Dreamless Sleep induce? [/INST] Drowsiness. </s>
Which Quidditch ball is the biggest?,Quaffle,<s>[INST] Which Quidditch ball is the biggest? [/INST] Quaffle </s>
Who kidnapped Mad-Eye Moody just before the Twiwizard Tounament?,Bartemius Crouch Junior,<s>[INST] Who kidnapped Mad-Eye Moody just before the Twiwizard Tounament? [/INST] Bartemius Crouch Junior </s>
When do Puffskeins hum?,When they're content.,<s>[INST] When do Puffskeins hum? [/INST] When they're content. </s>
What's one form of Hex-Deflection?,Salvio Hexia,<s>[INST] What's one form of Hex-Deflection? [/INST] Salvio Hexia </s>
Who of the following was not a classmate of Harry Potter?,Fleur Delacour,<s>[INST] Who of the following was not a classmate of Harry Potter? [/INST] Fleur Delacour </s>
Where are the highest quality Shrivelfigs grown?,Abyssinia,<s>[INST] Where are the highest quality Shrivelfigs grown? [/INST] Abyssinia </s>
Which of the Hogwarts ghosts is Peeves afraid of?,The Bloody Baron,<s>[INST] Which of the Hogwarts ghosts is Peeves afraid of? [/INST] The Bloody Baron </s>
Who is the flying instructor?,Madam Hooch,<s>[INST] Who is the flying instructor? [/INST] Madam Hooch </s>
What are the colors of Ravenclaw?,Blue and bronze,<s>[INST] What are the colors of Ravenclaw? [/INST] Blue and bronze </s>
What did Wendelin do to make sure she wasn't recognized?,Wore disguises.,<s>[INST] What did Wendelin do to make sure she wasn't recognized? [/INST] Wore disguises. </s>
Where can Knotgrass be found?,The Forbidden Forest,<s>[INST] Where can Knotgrass be found? [/INST] The Forbidden Forest </s>
Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake?,Slytherin’s locket,<s>[INST] Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake? [/INST] Slytherin’s locket </s>
"In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?",Beneath the statue of the one-eyed witch,"<s>[INST] In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden? [/INST] Beneath the statue of the one-eyed witch </s>"
Mimbulus mimbletonia secretes what substance?,Stinksap,<s>[INST] Mimbulus mimbletonia secretes what substance? [/INST] Stinksap </s>
What does Charlie Weasley do for a living after graduation?,Study dragons,<s>[INST] What does Charlie Weasley do for a living after graduation? [/INST] Study dragons </s>
What kind of wood is Harry's first wand made out of?,Holly,<s>[INST] What kind of wood is Harry's first wand made out of? [/INST] Holly </s>
Harry discovers he’s one of Voldemort’s seven Horcruxes. What are the others?,"Tom Riddle’s Diary, Nagini, the giant ring, the Hufflepuff cup, Slytherin Locket, and Ravenclaw diadem.","<s>[INST] Harry discovers he’s one of Voldemort’s seven Horcruxes. What are the others? [/INST] Tom Riddle’s Diary, Nagini, the giant ring, the Hufflepuff cup, Slytherin Locket, and Ravenclaw diadem. </s>"
Thestrals are mistakenly considered to be omens of what?,Misfortune.,<s>[INST] Thestrals are mistakenly considered to be omens of what? [/INST] Misfortune. </s>
What is the name of the magical hospital?,St. Mungo's Hospital for Magical Maladies and Injuries.,<s>[INST] What is the name of the magical hospital? [/INST] St. Mungo's Hospital for Magical Maladies and Injuries. </s>
What is the name of Harry's owl?,Hedwig,<s>[INST] What is the name of Harry's owl? [/INST] Hedwig </s>
Which Quidditch players fend off the Bludgers?,The Beaters,<s>[INST] Which Quidditch players fend off the Bludgers? [/INST] The Beaters </s>
How many staircases does Hogwarts have?,142,<s>[INST] How many staircases does Hogwarts have? [/INST] 142 </s>
What was the point of this lesson?,Fine tune your skills,<s>[INST] What was the point of this lesson? [/INST] Fine tune your skills </s>
How many presents did Dudley Dursley receive on his birthday in total?,"38. It was 36 (one less than last year), but then Mrs. Dursley bought him two new presents to make up for it.","<s>[INST] How many presents did Dudley Dursley receive on his birthday in total? [/INST] 38. It was 36 (one less than last year), but then Mrs. Dursley bought him two new presents to make up for it. </s>"
Which of the following was not a breed of Dragon faced by the Triwizard Tournament Champions?,Norwegian Ridgeback,<s>[INST] Which of the following was not a breed of Dragon faced by the Triwizard Tournament Champions? [/INST] Norwegian Ridgeback </s>
Who wrote the book Curses and Counter-Curses?,Viridian,<s>[INST] Who wrote the book Curses and Counter-Curses? [/INST] Viridian </s>
In what capacity did the Sardinian sorcerers attend the Convention?,Sub-Committee,<s>[INST] In what capacity did the Sardinian sorcerers attend the Convention? [/INST] Sub-Committee </s>
How did Harry first arrive (and ultimately depart from)the Dursley's house on 4 Privet Drive?,Flying Motorobike,<s>[INST] How did Harry first arrive (and ultimately depart from)the Dursley's house on 4 Privet Drive? [/INST] Flying Motorobike </s>
"When stirring a Wiggenweld Potion, how many times will the solution change color during the stirring process?",Several,"<s>[INST] When stirring a Wiggenweld Potion, how many times will the solution change color during the stirring process? [/INST] Several </s>"
Which incantation cancels all spell effects?,Finite Incantatem,<s>[INST] Which incantation cancels all spell effects? [/INST] Finite Incantatem </s>
In what year did the Gargoyle Strike take place?,1911,<s>[INST] In what year did the Gargoyle Strike take place? [/INST] 1911 </s>
"What was connected by the Floo Network, creating a mode of transportation for Witches and Wizards?",Fireplaces,"<s>[INST] What was connected by the Floo Network, creating a mode of transportation for Witches and Wizards? [/INST] Fireplaces </s>"
What is a group of Bowtruckles called?,Branch,<s>[INST] What is a group of Bowtruckles called? [/INST] Branch </s>
Who was the original owner of the locket Horcrux?,Salazar Slytherin,<s>[INST] Who was the original owner of the locket Horcrux? [/INST] Salazar Slytherin </s>
What name was Harry Potter using when he was captured at Malfoy Manor by the Death Eaters?,Vernon Dudley,<s>[INST] What name was Harry Potter using when he was captured at Malfoy Manor by the Death Eaters? [/INST] Vernon Dudley </s>
Which of these creatures' blood will keep a human alive?,Unicorn,<s>[INST] Which of these creatures' blood will keep a human alive? [/INST] Unicorn </s>
What am I most known for?,My Partially Severed Neck,<s>[INST] What am I most known for? [/INST] My Partially Severed Neck </s>
Which pub in London conceals the entrance to Diagon Alley?,The Leaky Cauldron,<s>[INST] Which pub in London conceals the entrance to Diagon Alley? [/INST] The Leaky Cauldron </s>
Do you know what potion is effective against Banshees?,The Laughing Potion,<s>[INST] Do you know what potion is effective against Banshees? [/INST] The Laughing Potion </s>
How is Quodpot different from Quiddtich?,The ball explodes.,<s>[INST] How is Quodpot different from Quiddtich? [/INST] The ball explodes. </s>
What do Dark Spells require in order to be successful?,Malicious Intent,<s>[INST] What do Dark Spells require in order to be successful? [/INST] Malicious Intent </s>
What are meteor showers usually named after?,Constellations.,<s>[INST] What are meteor showers usually named after? [/INST] Constellations. </s>
Who discovered the 12 uses for dragon blood?,Professor Dumbledore,<s>[INST] Who discovered the 12 uses for dragon blood? [/INST] Professor Dumbledore </s>
How many Lionfish Spines are used in one batch of Herbicide Potion?,Four,<s>[INST] How many Lionfish Spines are used in one batch of Herbicide Potion? [/INST] Four </s>
Which Quidditch ball is equipped with the Gripping Charm?,Quaffle,<s>[INST] Which Quidditch ball is equipped with the Gripping Charm? [/INST] Quaffle </s>
Name the six subjects every Hogwarts student is required to study during their first two years of school.,"Astronomy, Charms, Defense Against the Dark Arts, Herbology, History of Magic, Potions, and Transfiguration.","<s>[INST] Name the six subjects every Hogwarts student is required to study during their first two years of school. [/INST] Astronomy, Charms, Defense Against the Dark Arts, Herbology, History of Magic, Potions, and Transfiguration. </s>"
"What kind of pet does Harry own, and what is her name?",An owl named Hedwig.,"<s>[INST] What kind of pet does Harry own, and what is her name? [/INST] An owl named Hedwig. </s>"
What covers the distinct nettle leaf?,Stinging hairs.,<s>[INST] What covers the distinct nettle leaf? [/INST] Stinging hairs. </s>
Do you know what kind of creature a Boggart is? Because I [Merula] do.,Non-being,<s>[INST] Do you know what kind of creature a Boggart is? Because I [Merula] do. [/INST] Non-being </s>
"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy,"<s>[INST] In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal? [/INST] Troy </s>"
What incantation shrinks an object?,Reducio,<s>[INST] What incantation shrinks an object? [/INST] Reducio </s>
Who is the Divination Professor?,Professor Trelawney,<s>[INST] Who is the Divination Professor? [/INST] Professor Trelawney </s>
What spell vanishes an object?,Evanesco,<s>[INST] What spell vanishes an object? [/INST] Evanesco </s>
What is the most powerful truth serum?,Veritaserum,<s>[INST] What is the most powerful truth serum? [/INST] Veritaserum </s>
What is Wronski Feint?,Pretending to dive for the Snitch.,<s>[INST] What is Wronski Feint? [/INST] Pretending to dive for the Snitch. </s>
Who is the Head of Ravenclaw House?,Professor Flitwick,<s>[INST] Who is the Head of Ravenclaw House? [/INST] Professor Flitwick </s>
Where could you buy broomsticks?,Quality Quidditch Supplies,<s>[INST] Where could you buy broomsticks? [/INST] Quality Quidditch Supplies </s>
"If one wished to increase the effect of the Bombarda spell, which incantation would you use?",Bombarda Maxima,"<s>[INST] If one wished to increase the effect of the Bombarda spell, which incantation would you use? [/INST] Bombarda Maxima </s>"
What is an acceptable use of the Orb?,Divining the future,<s>[INST] What is an acceptable use of the Orb? [/INST] Divining the future </s>
What type of Ghoul is capable of disguising itself?,Chameleon Ghouls,<s>[INST] What type of Ghoul is capable of disguising itself? [/INST] Chameleon Ghouls </s>
